Wall time,Step,Value
1745160261.0368228,1,0.08813014626502991
1745160268.3958807,2,0.103688545525074
1745160275.6613317,3,0.09376122057437897
1745160283.1397934,4,0.13549387454986572
1745160291.234282,5,0.2470961958169937
1745160305.6809213,6,0.5754823088645935
1745160314.2548356,7,0.9822427034378052
1745160322.9910846,8,1.7549561262130737
1745160332.0304413,9,2.757039785385132
1745160342.0591002,10,3.8120367527008057
1745160359.628265,11,5.211430549621582
1745160372.5569978,12,6.374271869659424
1745160386.8993156,13,7.920711040496826
1745160403.7085323,14,8.428504943847656
1745160421.181858,15,9.04949951171875
1745160445.018568,16,8.989957809448242
1745160463.9205334,17,9.532140731811523
1745160483.5597086,18,10.524803161621094
1745160503.7898772,19,10.976696968078613
1745160524.6555648,20,12.315140724182129
1745160552.2250726,21,12.562299728393555
1745160574.338271,22,13.174918174743652
1745160596.946708,23,14.22573471069336
1745160619.9901924,24,15.198853492736816
1745160643.4018645,25,16.918502807617188
1745160672.938221,26,17.5007381439209
1745160696.448957,27,18.54313087463379
1745160720.0801153,28,19.80438995361328
1745160744.1822817,29,20.450868606567383
1745160767.9277446,30,20.996131896972656
1745160797.9881108,31,20.885730743408203
1745160821.6598601,32,21.716154098510742
1745160845.3160615,33,21.89475440979004
1745160869.1672835,34,22.929931640625
1745160892.9736412,35,23.623754501342773
1745160922.3061936,36,24.4838924407959
1745160946.0709772,37,24.012235641479492
1745160969.7753491,38,24.449617385864258
1745160993.301172,39,24.862619400024414
1745161016.7628453,40,26.1676082611084
1745161045.985592,41,24.571523666381836
1745161069.5242739,42,24.78721809387207
1745161092.93428,43,26.53639793395996
1745161116.7533336,44,26.86565589904785
1745161140.0962386,45,26.903118133544922
1745161169.3037467,46,26.766284942626953
1745161192.6879563,47,27.194751739501953
1745161216.0697205,48,27.5419979095459
1745161239.727923,49,27.440324783325195
1745161263.071583,50,28.332536697387695
1745161292.421625,51,28.12197494506836
1745161315.6381793,52,26.821537017822266
1745161339.1588612,53,26.828004837036133
1745161362.8461044,54,27.62964630126953
1745161386.6107042,55,28.006296157836914
1745161415.8155003,56,26.28993034362793
1745161439.7687275,57,25.60517120361328
1745161463.1077602,58,26.24384307861328
1745161486.581578,59,26.89497947692871
1745161510.1743379,60,24.43923568725586
1745161539.983808,61,26.527963638305664
1745161563.5539446,62,26.688949584960938
1745161587.091331,63,24.44184684753418
1745161610.3507218,64,25.26445770263672
1745161633.890264,65,23.543825149536133
1745161662.8199172,66,23.14552879333496
1745161686.3778634,67,24.42154884338379
1745161710.3403528,68,24.902223587036133
1745161734.3839388,69,24.47357749938965
1745161758.3263535,70,23.174036026000977
1745161787.9176338,71,22.51482582092285
1745161811.5940726,72,22.461267471313477
1745161835.4193902,73,22.602535247802734
1745161859.0559344,74,19.99799156188965
1745161883.209908,75,20.477203369140625
1745161912.841571,76,20.659034729003906
1745161936.658683,77,20.336267471313477
1745161960.0997674,78,21.2314453125
1745161983.733377,79,20.70858383178711
1745162007.5693123,80,21.518375396728516
1745162036.927426,81,21.70577049255371
1745162060.3578048,82,18.74821662902832
1745162083.8003333,83,17.98436164855957
1745162107.3275962,84,20.1756591796875
1745162131.199222,85,20.735204696655273
1745162160.7398229,86,19.376386642456055
1745162184.380127,87,18.81056022644043
1745162208.3116097,88,19.126117706298828
1745162231.6976323,89,19.75309944152832
1745162255.1549816,90,21.003223419189453
1745162284.4369187,91,18.788490295410156
1745162308.009339,92,20.24101448059082
1745162331.5611894,93,19.727617263793945
1745162355.1573975,94,20.590150833129883
1745162378.99288,95,18.500547409057617
1745162408.9499393,96,21.539888381958008
1745162432.369637,97,18.498779296875
