Wall time,Step,Value
1745171385.6956506,1,0.08234472572803497
1745171388.5166945,2,0.11637118458747864
1745171391.234709,3,0.05542348325252533
1745171394.0389788,4,0.06754916161298752
1745171397.1821873,5,0.1577983945608139
1745171405.435845,6,0.2981559634208679
1745171408.3913882,7,0.29288503527641296
1745171411.5182424,8,0.2244151085615158
1745171414.739935,9,0.27237892150878906
1745171417.9943228,10,0.5136599540710449
1745171427.2741425,11,1.2085480690002441
1745171430.782368,12,1.2283776998519897
1745171434.3596516,13,1.936501145362854
1745171437.9587955,14,3.0348849296569824
1745171441.5875795,15,3.3614447116851807
1745171450.872605,16,4.314985752105713
1745171454.6315339,17,4.879140853881836
1745171458.3785188,18,5.570613861083984
1745171462.120726,19,5.864207744598389
1745171465.9213893,20,6.382233142852783
1745171475.439252,21,7.271519184112549
1745171479.5030859,22,8.108805656433105
1745171483.5779886,23,7.463081359863281
1745171487.7349234,24,8.124168395996094
1745171491.9301462,25,8.76595687866211
1745171501.7795844,26,9.575857162475586
1745171506.0025408,27,9.742584228515625
1745171510.2185688,28,10.175928115844727
1745171514.461321,29,9.848461151123047
1745171518.8042088,30,9.968666076660156
1745171528.9637904,31,10.895397186279297
1745171533.4465802,32,11.4448881149292
1745171537.8542795,33,11.444635391235352
1745171542.2748742,34,11.508042335510254
1745171546.734867,35,12.937353134155273
1745171557.0348263,36,13.352289199829102
1745171561.4519897,37,14.366005897521973
1745171565.9000986,38,14.63078784942627
1745171570.410518,39,14.352441787719727
1745171574.8764482,40,14.975044250488281
1745171584.844942,41,15.23399829864502
1745171589.3944216,42,15.073620796203613
1745171593.900576,43,16.015151977539062
1745171598.4723206,44,17.280941009521484
1745171603.1598587,45,16.893491744995117
1745171613.5739408,46,17.108360290527344
1745171618.2569408,47,18.055164337158203
1745171622.9128501,48,17.093994140625
1745171627.5713913,49,18.96694564819336
1745171632.2727108,50,18.146337509155273
1745171642.793106,51,17.999080657958984
1745171647.6176808,52,20.690114974975586
1745171652.6804311,53,18.81954574584961
1745171657.5411022,54,19.002174377441406
1745171662.9195845,55,20.850460052490234
1745171673.8933418,56,19.299606323242188
1745171679.5107667,57,19.653120040893555
1745171685.1478338,58,20.13365364074707
1745171690.73107,59,18.57530975341797
1745171696.357142,60,20.405990600585938
1745171707.6699722,61,18.81711769104004
1745171713.5156815,62,19.38834571838379
1745171719.1788304,63,20.757539749145508
1745171725.32378,64,17.061588287353516
1745171731.3977828,65,19.362030029296875
1745171742.773823,66,18.176931381225586
1745171748.8585784,67,20.152877807617188
1745171754.68039,68,20.925308227539062
1745171760.9166923,69,19.043701171875
1745171766.9263318,70,19.666980743408203
1745171778.7723854,71,20.571439743041992
1745171784.7087142,72,19.34027099609375
1745171791.011249,73,18.117319107055664
1745171797.1826017,74,17.289363861083984
1745171803.3123949,75,17.52069854736328
1745171814.8843136,76,19.739952087402344
1745171821.0517278,77,20.57231903076172
1745171827.2293975,78,24.242938995361328
1745171833.5512364,79,18.40473747253418
1745171839.8710005,80,19.427913665771484
1745171851.9214005,81,16.557647705078125
1745171858.3800597,82,14.611066818237305
1745171865.099945,83,14.336036682128906
1745171871.4962125,84,15.587080955505371
1745171878.0831203,85,19.77492904663086
1745171890.1751153,86,18.680599212646484
1745171896.5885663,87,18.235761642456055
1745171903.0219574,88,15.784515380859375
1745171909.5539067,89,15.48133373260498
1745171915.948219,90,18.468536376953125
1745171928.0623052,91,21.125429153442383
1745171934.5620544,92,14.721053123474121
1745171941.0405698,93,20.938785552978516
1745171947.3391926,94,18.733776092529297
1745171953.7135072,95,19.610960006713867
1745171965.7537534,96,23.028423309326172
1745171972.044276,97,19.755657196044922
1745171978.5825992,98,17.01781463623047
1745171985.0563288,99,15.306079864501953
1745171991.5895896,100,19.114192962646484
1745172004.0944893,101,16.869277954101562
1745172010.5405796,102,19.969684600830078
1745172017.0901175,103,15.86507511138916
1745172023.5200107,104,25.03000831604004
1745172029.9976633,105,21.712663650512695
1745172042.3165789,106,17.953428268432617
1745172048.7507055,107,21.571258544921875
1745172055.2269967,108,31.55365562438965
1745172061.6938386,109,19.516193389892578
1745172068.0330565,110,25.104297637939453
1745172080.2214372,111,20.338159561157227
1745172086.631479,112,22.30303382873535
1745172092.7852135,113,22.47530746459961
1745172099.2665694,114,28.855831146240234
1745172105.7655065,115,27.81817626953125
1745172117.441394,116,24.70494270324707
1745172123.8846238,117,16.163175582885742
1745172130.1090138,118,17.068378448486328
1745172136.4790337,119,23.039939880371094
1745172142.9729142,120,21.62862205505371
1745172154.7619066,121,24.12519645690918
1745172161.2370179,122,29.22858428955078
1745172167.4872603,123,18.804723739624023
1745172173.9992177,124,17.88809585571289
1745172180.093874,125,22.791587829589844
1745172191.5391772,126,16.991769790649414
1745172198.0296047,127,17.536056518554688
1745172204.564738,128,18.37978172302246
1745172210.9012482,129,15.987548828125
1745172217.1384087,130,22.1368465423584
1745172229.130133,131,25.173368453979492
1745172235.5940795,132,24.84181022644043
