Wall time,Step,Value
1745164635.9316168,1,0.0
1745164642.6093435,2,0.0
1745164649.3389363,3,0.0
1745164656.188127,4,0.0
1745164663.46086,5,0.0
1745164677.002444,6,0.0
1745164685.3604286,7,0.0
1745164694.4929576,8,0.0009813542710617185
1745164704.3403993,9,0.0
1745164715.4446697,10,0.0
1745164734.057683,11,0.0
1745164747.697672,12,0.0010131712770089507
1745164763.3296494,13,0.0
1745164779.981846,14,0.0010570824379101396
1745164798.2282565,15,0.0
1745164823.893485,16,0.0011013215407729149
1745164844.3877542,17,0.0
1745164865.0826464,18,0.0
1745164886.6276488,19,0.0
1745164908.2892058,20,0.0
1745164936.5225155,21,0.0
1745164958.3591912,22,0.0
1745164980.8180447,23,0.0
1745165003.9087694,24,0.0
1745165028.0182688,25,0.0
1745165058.524403,26,0.00269905524328351
1745165083.5210068,27,0.0
1745165108.3081005,28,0.004464285913854837
1745165133.3808324,29,0.0015923567116260529
1745165158.3274574,30,0.0052083334885537624
1745165189.4870393,31,0.01318267360329628
1745165214.6174366,32,0.008316008374094963
1745165239.836367,33,0.01149425283074379
1745165264.923709,34,0.014888336881995201
1745165289.646263,35,0.0238095223903656
1745165320.2992022,36,0.014044944196939468
1745165345.1548185,37,0.017492711544036865
1745165369.6244385,38,0.021739130839705467
1745165394.3080487,39,0.015974439680576324
1745165418.7137966,40,0.022727273404598236
1745165448.5395622,41,0.04026845842599869
1745165472.8418791,42,0.02097902074456215
1745165497.0749052,43,0.029411764815449715
1745165521.3279574,44,0.08856088668107986
1745165545.5218387,45,0.05511811003088951
1745165575.370256,46,0.041152261197566986
1745165599.1848843,47,0.07438015937805176
1745165623.1532595,48,0.06550218164920807
1745165647.2758021,49,0.0937500074505806
1745165671.2393246,50,0.09478673338890076
1745165701.02614,51,0.0882352963089943
1745165725.0596561,52,0.10769230872392654
1745165749.1330302,53,0.10439560562372208
1745165773.2586432,54,0.071856290102005
1745165797.3895338,55,0.11949685215950012
1745165826.8452506,56,0.17901234328746796
1745165850.9909716,57,0.16339869797229767
1745165875.4216816,58,0.22839505970478058
1745165899.5717375,59,0.11678832024335861
1745165923.7376528,60,0.16296295821666718
1745165953.7738886,61,0.1705426275730133
1745165978.153597,62,0.1705426275730133
1745166002.2661552,63,0.24264706671237946
1745166026.349999,64,0.18897637724876404
1745166050.6370726,65,0.19512194395065308
1745166080.4835556,66,0.21487602591514587
1745166104.7566588,67,0.2083333432674408
1745166129.1843233,68,0.2053571492433548
1745166153.2867765,69,0.19230769574642181
1745166177.5249434,70,0.1318681389093399
1745166207.642757,71,0.26363635063171387
1745166231.8090196,72,0.28070175647735596
1745166256.3733263,73,0.22549019753932953
1745166280.8551645,74,0.3214285969734192
1745166305.167113,75,0.20000000298023224
1745166335.0515542,76,0.22580644488334656
1745166359.385263,77,0.28431373834609985
1745166383.7277477,78,0.27551019191741943
1745166408.0585763,79,0.20689654350280762
1745166432.2679968,80,0.2800000011920929
1745166462.320303,81,0.21978022158145905
1745166486.6510005,82,0.3199999928474426
1745166510.9188092,83,0.2527472674846649
1745166535.270412,84,0.3020833432674408
1745166559.451842,85,0.2978723347187042
1745166589.237906,86,0.3186813294887543
1745166613.6382291,87,0.3186813294887543
1745166637.8713846,88,0.3181818127632141
1745166662.293114,89,0.2705882489681244
1745166686.3390617,90,0.3333333432674408
1745166716.729169,91,0.3103448152542114
1745166741.0133204,92,0.37634408473968506
1745166765.2974727,93,0.34375
1745166789.6752393,94,0.3186813294887543
1745166813.973284,95,0.3139534890651703
1745166843.9041011,96,0.3444444537162781
1745166868.270764,97,0.3012048006057739
