Wall time,Step,Value
1745166922.258234,1,0.0
1745166928.9983554,2,0.0
1745166935.648393,3,0.0
1745166942.4811995,4,0.0
1745166949.8222897,5,0.0
1745166962.7255332,6,0.0
1745166970.4645038,7,0.0
1745166978.637322,8,0.0
1745166987.2615588,9,0.0
1745166996.4371688,10,0.0009823183063417673
1745167012.281165,11,0.0
1745167023.2637985,12,0.0
1745167035.677683,13,0.0
1745167049.738461,14,0.0
1745167064.8985386,15,0.0020942408591508865
1745167088.628033,16,0.0
1745167107.493768,17,0.0
1745167127.6838274,18,0.0
1745167148.0331368,19,0.0
1745167169.2170467,20,0.001176470541395247
1745167197.1279547,21,0.0
1745167220.0326455,22,0.0
1745167243.2236378,23,0.0
1745167266.9857013,24,0.0
1745167291.0513523,25,0.0
1745167320.5104215,26,0.0
1745167344.190193,27,0.0
1745167367.694222,28,0.001367989112623036
1745167391.7125604,29,0.0
1745167415.6755393,30,0.0
1745167446.0030968,31,0.0
1745167470.1673198,32,0.0
1745167494.3799403,33,0.001721170381642878
1745167518.6160338,34,0.0
1745167542.6082995,35,0.015473888255655766
1745167573.0535674,36,0.004201680887490511
1745167597.2430298,37,0.008830022066831589
1745167621.1980605,38,0.007142857648432255
1745167645.6885247,39,0.005025125574320555
1745167669.8860762,40,0.008152173832058907
1745167699.5583267,41,0.02654867246747017
1745167724.0107524,42,0.030959751456975937
1745167747.9815323,43,0.02931595966219902
1745167771.9283514,44,0.04054054245352745
1745167796.2215705,45,0.025362320244312286
1745167825.702684,46,0.01984127052128315
1745167849.8453996,47,0.04938271641731262
1745167874.158918,48,0.047413792461156845
1745167898.2298088,49,0.0714285746216774
1745167922.1722913,50,0.06542056053876877
1745167951.8425467,51,0.09452736377716064
1745167975.4635649,52,0.059139784425497055
1745167999.5025983,53,0.06395348906517029
1745168023.6251075,54,0.07831324636936188
1745168047.7120087,55,0.1082802563905716
1745168077.299118,56,0.12903225421905518
1745168101.2886314,57,0.09803921729326248
1745168125.3482463,58,0.0878378376364708
1745168149.4554727,59,0.13605442643165588
1745168173.2038085,60,0.0962962955236435
1745168203.07488,61,0.13740457594394684
1745168227.1982605,62,0.17037037014961243
1745168251.2767074,63,0.1190476268529892
1745168275.598199,64,0.13445378839969635
1745168299.6709423,65,0.18333333730697632
1745168329.1540763,66,0.12844036519527435
1745168353.337971,67,0.21367523074150085
1745168377.4579313,68,0.16190476715564728
1745168401.552639,69,0.23148147761821747
1745168425.5153215,70,0.20999999344348907
1745168455.6597142,71,0.24271844327449799
1745168479.9510725,72,0.16842105984687805
1745168504.1057029,73,0.3153153359889984
1745168528.4923284,74,0.16129031777381897
1745168552.964072,75,0.25
1745168582.237447,76,0.24242424964904785
1745168606.3967083,77,0.22340424358844757
1745168630.473118,78,0.27450981736183167
1745168654.5018246,79,0.2247191071510315
1745168678.8635833,80,0.23863637447357178
1745168709.0402215,81,0.30337080359458923
1745168733.2975488,82,0.3510638177394867
1745168757.913641,83,0.31111112236976624
1745168782.3978314,84,0.2777777910232544
1745168806.5060225,85,0.36082473397254944
1745168836.4392123,86,0.2747252881526947
1745168860.7247148,87,0.25555557012557983
1745168885.1752753,88,0.26436781883239746
1745168909.63715,89,0.2613636553287506
1745168934.2359226,90,0.2738095223903656
1745168964.1116917,91,0.3139534890651703
1745168988.1027994,92,0.3586956560611725
1745169012.3780572,93,0.35164836049079895
1745169036.573184,94,0.2857142984867096
1745169060.4895775,95,0.35227274894714355
1745169090.5062306,96,0.3086419701576233
1745169114.6467297,97,0.3214285671710968
